1AF_S1_R1_001_val_1	3895.0	5131.0	20189.0	52688.0	93274.0	143929.0	211289.0	267183.0	283816.0	320885.0	371318.0	374159.0	343395.0	321322.0	326087.0	384317.0	465241.0	436991.0	367011.0	340488.0	332292.0	327977.0	325549.0	390156.0	1603192.0	6998604.0	1406916.0	13568387.0
	20	22	24	26	28	30	32	34	36	38	40	42	44	46	48	50	52	54	56	58	60	62	64	66	68	70	72	74
1AF_S1_R2_001_val_2	10518.0	11401.0	11249.0	10947.0	10832.0	11212.0	11403.0	10941.0	11871.0	11737.0	11383.0	11773.0	11998.0	13074.0	14160.0	14972.0	15864.0	16993.0	19568.0	23060.0	28523.0	39739.0	57205.0	105545.0	306190.0	3586952.0	15454406.0	10242165.0
	20	22	24	26	28	30	32	34	36	38	40	42	44	46	48	50	52	54	56	58	60	62	64	66	68	70	72	74
1HS_S6_R1_001_val_1	2354.0	3958.0	17299.0	40494.0	69294.0	107540.0	157891.0	191210.0	199675.0	246666.0	275159.0	272303.0	246584.0	240690.0	246332.0	313467.0	360418.0	319792.0	275924.0	263609.0	262961.0	258013.0	255902.0	322238.0	1509320.0	5806109.0	1131556.0	11329179.0
	20	22	24	26	28	30	32	34	36	38	40	42	44	46	48	50	52	54	56	58	60	62	64	66	68	70	72	74
1HS_S6_R2_001_val_2	9318.0	10027.0	9832.0	9509.0	9377.0	9827.0	9756.0	9276.0	9998.0	9905.0	9889.0	9995.0	10180.0	10972.0	11809.0	12585.0	13312.0	14049.0	15768.0	18649.0	23342.0	32160.0	46261.0	86023.0	251714.0	3429301.0	12691977.0	7941126.0
	20	22	24	26	28	30	32	34	36	38	40	42	44	46	48	50	52	54	56	58	60	62	64	66	68	70	72	74	76
1MRLA_S9_R1_001_val_1	2932.0	3577.0	13315.0	33731.0	58272.0	91349.0	135267.0	171133.0	184519.0	214679.0	249323.0	252564.0	239441.0	231980.0	240778.0	287480.0	344961.0	322476.0	275666.0	258939.0	260148.0	263197.0	256362.0	288149.0	754179.0	1832060.0	5243921.0	1883042.0	10418592.0
	20	22	24	26	28	30	32	34	36	38	40	42	44	46	48	50	52	54	56	58	60	62	64	66	68	70	72	74	76
1MRLA_S9_R2_001_val_2	8080.0	8469.0	8734.0	8875.0	9074.0	9025.0	9115.0	8601.0	9037.0	9089.0	9131.0	9342.0	9502.0	10394.0	10878.0	11697.0	12812.0	13812.0	15383.0	18141.0	21635.0	27450.0	37844.0	56574.0	109982.0	334247.0	3176457.0	12583566.0	8255086.0
	20	22	24	26	28	30	32	34	36	38	40	42	44	46	48	50	52	54	56	58	60	62	64	66	68	70	72	74	76
